iter	Passed	Remaining
0	159	158961
1	160	80135
2	161	53750
3	162	40567
4	164	32645
5	165	27412
6	170	24241
7	172	21381
8	173	19134
9	174	17321
10	176	15825
11	177	14585
12	178	13543
13	179	12630
14	181	11906
15	183	11312
16	185	10727
17	186	10184
18	187	9693
19	188	9259
20	190	8888
21	191	8519
22	194	8263
23	197	8029
24	198	7757
25	200	7501
26	201	7256
27	202	7026
28	203	6813
29	204	6615
30	210	6592
31	213	6455
32	214	6292
33	215	6132
34	217	5985
35	218	5855
36	219	5716
37	221	5617
38	227	5604
39	229	5496
40	230	5384
41	231	5275
42	232	5172
43	234	5088
44	236	5018
45	240	4994
46	242	4914
47	243	4831
48	244	4748
49	245	4669
50	247	4607
51	248	4533
52	253	4521
53	254	4464
54	256	4404
55	257	4342
56	258	4281
57	259	4220
58	261	4170
59	262	4120
60	268	4136
61	270	4094
62	271	4043
63	273	3992
64	274	3942
65	275	3894
66	276	3848
67	278	3817
68	283	3820
69	284	3784
70	286	3743
71	287	3700
72	288	3660
73	289	3628
74	290	3588
75	297	3616
76	299	3586
77	300	3552
78	301	3517
79	302	3481
80	303	3447
81	305	3417
82	305	3378
83	307	3357
84	312	3367
85	314	3343
86	315	3314
87	316	3284
88	318	3257
89	319	3233
90	320	3204
91	322	3186
92	327	3198
93	329	3180
94	331	3154
95	332	3128
96	333	3102
97	334	3083
98	342	3116
99	343	3093
100	345	3075
101	346	3052
102	347	3028
103	348	3005
104	350	2986
105	352	2970
106	357	2980
107	358	2958
108	359	2937
109	360	2915
110	361	2895
111	362	2874
112	363	2852
113	364	2831
114	365	2810
115	366	2794
116	370	2799
117	372	2781
118	373	2763
119	374	2745
120	375	2727
121	376	2709
122	377	2692
123	378	2676
124	380	2661
125	385	2674
126	386	2656
127	388	2644
128	389	2630
129	391	2617
130	392	2603
131	394	2591
132	399	2601
133	400	2586
134	401	2570
135	402	2554
136	403	2538
137	403	2523
138	405	2509
139	406	2495
140	407	2480
141	407	2463
142	408	2449
143	409	2435
144	411	2424
145	413	2418
146	415	2410
147	416	2398
148	417	2386
149	418	2373
150	420	2361
151	421	2352
152	423	2342
153	424	2329
154	424	2316
155	426	2308
156	429	2306
157	431	2298
158	433	2290
159	434	2280
160	435	2267
161	436	2256
162	438	2249
163	440	2247
164	443	2246
165	445	2238
166	446	2228
167	448	2220
168	449	2209
169	450	2201
170	451	2190
171	452	2179
172	454	2171
173	461	2189
174	462	2180
175	465	2179
176	466	2170
177	467	2161
178	475	2182
179	478	2177
180	479	2169
181	480	2159
182	481	2150
183	483	2143
184	490	2162
185	493	2157
186	494	2148
187	495	2139
188	496	2130
189	504	2149
190	505	2141
191	507	2134
192	508	2126
193	509	2117
194	510	2108
195	512	2102
196	520	2121
197	521	2113
198	522	2105
199	524	2096
200	525	2088
201	526	2080
202	527	2072
203	531	2074
204	533	2068
205	534	2060
206	535	2052
207	536	2044
208	538	2036
209	539	2029
210	540	2021
211	542	2015
212	546	2018
213	548	2014
214	551	2013
215	552	2005
216	553	1997
217	554	1990
218	556	1985
219	563	1998
220	565	1991
221	566	1985
222	568	1979
223	569	1971
224	570	1963
225	571	1957
226	572	1950
227	578	1958
228	579	1952
229	581	1946
230	582	1939
231	583	1932
232	584	1924
233	586	1919
234	587	1911
235	590	1911
236	593	1910
237	595	1905
238	596	1899
239	597	1893
240	598	1886
241	600	1880
242	601	1874
243	604	1871
244	607	1871
245	609	1866
246	610	1860
247	611	1854
248	612	1847
249	613	1841
250	614	1834
251	616	1831
252	620	1830
253	621	1825
254	622	1819
255	623	1812
256	624	1806
257	626	1802
258	628	1798
259	632	1800
260	635	1800
261	640	1802
262	642	1799
263	644	1796
264	649	1802
265	651	1797
266	652	1792
267	654	1787
268	655	1782
269	656	1776
270	658	1772
271	663	1775
272	664	1770
273	666	1766
274	668	1761
275	669	1755
276	671	1751
277	672	1747
278	678	1754
279	680	1749
280	682	1746
281	683	1741
282	685	1737
283	686	1730
284	687	1725
285	693	1732
286	695	1727
287	696	1722
288	697	1716
289	698	1710
290	700	1706
291	701	1700
292	702	1694
293	704	1692
294	709	1694
295	711	1691
296	712	1686
297	713	1681
298	714	1676
299	716	1671
300	720	1673
301	722	1670
302	724	1666
303	726	1662
304	727	1657
305	729	1653
306	730	1648
307	731	1643
308	737	1648
309	739	1647
310	741	1643
311	743	1638
312	744	1633
313	745	1629
314	752	1636
315	754	1632
316	755	1628
317	757	1624
318	758	1619
319	760	1615
320	761	1611
321	768	1617
322	769	1613
323	771	1609
324	772	1604
325	774	1601
326	776	1597
327	777	1593
328	782	1596
329	784	1592
330	785	1588
331	787	1584
332	789	1580
333	792	1579
334	796	1580
335	798	1577
336	799	1572
337	800	1567
338	801	1562
339	802	1557
340	803	1552
341	804	1546
342	804	1541
343	805	1536
344	811	1540
345	812	1536
346	814	1533
347	816	1529
348	818	1526
349	820	1522
350	825	1525
351	826	1520
352	827	1515
353	827	1510
354	828	1505
355	829	1501
356	839	1512
357	841	1509
358	843	1505
359	844	1502
360	846	1498
361	847	1494
362	849	1491
363	853	1491
364	858	1493
365	862	1494
366	864	1491
367	866	1488
368	868	1485
369	870	1481
370	871	1477
371	873	1473
372	878	1477
373	882	1477
374	894	1491
375	909	1508
376	910	1505
377	917	1509
378	925	1516
379	927	1512
380	933	1516
381	935	1513
382	937	1511
383	940	1508
384	942	1505
385	951	1513
386	953	1510
387	956	1508
388	958	1505
389	967	1513
390	969	1509
391	971	1506
392	980	1514
393	982	1510
394	984	1507
395	985	1503
396	986	1498
397	988	1495
398	990	1491
399	995	1493
400	997	1490
401	999	1487
402	1001	1483
403	1004	1481
404	1011	1486
405	1014	1484
406	1018	1484
407	1026	1489
408	1028	1486
409	1032	1485
410	1040	1491
411	1046	1493
412	1049	1491
413	1056	1495
414	1058	1492
415	1064	1493
416	1072	1498
417	1074	1495
418	1075	1491
419	1078	1489
420	1086	1494
421	1088	1491
422	1092	1490
423	1094	1487
424	1096	1483
425	1101	1484
426	1102	1479
427	1104	1475
428	1105	1471
429	1106	1467
430	1108	1463
431	1110	1459
432	1114	1459
433	1117	1457
434	1119	1454
435	1121	1450
436	1125	1450
437	1134	1456
438	1136	1452
439	1138	1448
440	1139	1444
441	1140	1440
442	1144	1439
443	1146	1435
444	1147	1430
445	1148	1426
446	1151	1424
447	1154	1421
448	1155	1418
449	1162	1420
450	1164	1417
451	1167	1414
452	1170	1413
453	1175	1414
454	1179	1412
455	1181	1409
456	1183	1405
457	1184	1401
458	1185	1397
459	1186	1393
460	1191	1392
461	1197	1394
462	1202	1394
463	1207	1395
464	1209	1391
465	1211	1388
466	1213	1384
467	1215	1382
468	1218	1379
469	1221	1377
470	1223	1374
471	1225	1370
472	1226	1366
473	1227	1362
474	1229	1358
475	1232	1357
476	1238	1357
477	1239	1354
478	1241	1350
479	1242	1346
480	1243	1342
481	1246	1339
482	1248	1335
483	1249	1332
484	1250	1327
485	1251	1323
486	1252	1319
487	1254	1315
488	1255	1311
489	1256	1308
490	1257	1304
491	1259	1300
492	1261	1297
493	1263	1293
494	1264	1289
495	1265	1285
496	1266	1282
497	1268	1278
498	1269	1274
499	1270	1270
500	1271	1266
501	1273	1263
502	1276	1260
503	1277	1256
504	1278	1253
505	1279	1249
506	1281	1246
507	1282	1242
508	1284	1238
509	1285	1235
510	1286	1231
511	1288	1228
512	1290	1224
513	1291	1221
514	1292	1217
515	1294	1213
516	1296	1211
517	1298	1208
518	1301	1205
519	1306	1205
520	1307	1202
521	1309	1198
522	1310	1195
523	1311	1191
524	1312	1187
525	1313	1184
526	1315	1180
527	1316	1176
528	1318	1174
529	1320	1170
530	1321	1167
531	1323	1164
532	1324	1160
533	1326	1157
534	1327	1153
535	1328	1150
536	1330	1146
537	1331	1143
538	1334	1141
539	1336	1138
540	1337	1134
541	1339	1131
542	1340	1128
543	1341	1124
544	1342	1120
545	1343	1117
546	1345	1113
547	1346	1110
548	1348	1107
549	1349	1104
550	1351	1101
551	1352	1097
552	1353	1094
553	1355	1090
554	1356	1087
555	1357	1084
556	1358	1080
557	1359	1077
558	1362	1074
559	1364	1071
560	1365	1068
561	1366	1065
562	1368	1061
563	1369	1058
564	1370	1055
565	1373	1052
566	1374	1049
567	1377	1047
568	1379	1044
569	1380	1041
570	1382	1038
571	1383	1035
572	1386	1033
573	1388	1030
574	1389	1027
575	1393	1025
576	1395	1022
577	1396	1019
578	1398	1016
579	1399	1013
580	1401	1010
581	1402	1007
582	1404	1004
583	1409	1003
584	1410	1000
585	1411	997
586	1413	994
587	1414	991
588	1416	988
589	1417	984
590	1419	982
591	1421	979
592	1427	980
593	1429	976
594	1430	973
595	1433	971
596	1434	968
597	1443	970
598	1446	968
599	1449	966
600	1452	964
601	1454	961
602	1456	958
603	1458	956
604	1463	955
605	1465	952
606	1466	949
607	1467	946
608	1470	944
609	1472	941
610	1474	938
611	1478	937
612	1480	934
613	1481	931
614	1482	928
615	1484	925
616	1486	922
617	1489	920
618	1493	919
619	1495	916
620	1496	913
621	1498	910
622	1499	907
623	1501	904
624	1507	904
625	1509	901
626	1510	898
627	1512	895
628	1513	892
629	1514	889
630	1516	886
631	1519	884
632	1523	883
633	1524	880
634	1525	877
635	1527	874
636	1528	871
637	1529	867
638	1531	864
639	1534	863
640	1536	860
641	1537	857
642	1539	854
643	1540	851
644	1541	848
645	1542	845
646	1543	842
647	1544	839
648	1546	836
649	1550	834
650	1551	831
651	1552	828
652	1553	825
653	1554	822
654	1556	819
655	1557	816
656	1557	813
657	1559	810
658	1560	807
659	1561	804
660	1564	802
661	1565	799
662	1566	796
663	1567	792
664	1567	789
665	1568	786
666	1569	783
667	1570	780
668	1571	777
669	1572	774
670	1573	771
671	1574	768
672	1577	766
673	1578	763
674	1579	760
675	1580	757
676	1581	754
677	1582	751
678	1583	748
679	1584	745
680	1585	742
681	1586	739
682	1587	737
683	1588	734
684	1589	731
685	1592	728
686	1594	726
687	1595	723
688	1596	720
689	1598	717
690	1598	715
691	1600	712
692	1600	709
693	1601	706
694	1602	703
695	1603	700
696	1604	697
697	1607	695
698	1608	692
699	1608	689
700	1609	686
701	1610	683
702	1611	680
703	1612	678
704	1613	675
705	1614	672
706	1615	669
707	1616	666
708	1617	663
709	1618	661
710	1619	658
711	1621	655
712	1622	653
713	1623	650
714	1624	647
715	1625	644
716	1626	641
717	1627	639
718	1628	636
719	1629	633
720	1630	630
721	1631	628
722	1632	625
723	1633	622
724	1633	619
725	1636	617
726	1637	614
727	1638	612
728	1639	609
729	1640	606
730	1641	604
731	1642	601
732	1643	598
733	1644	595
734	1645	593
735	1645	590
736	1646	587
737	1647	585
738	1648	582
739	1651	580
740	1652	577
741	1653	574
742	1654	572
743	1655	569
744	1655	566
745	1656	564
746	1657	561
747	1658	558
748	1659	556
749	1660	553
750	1661	550
751	1662	548
752	1663	545
753	1665	543
754	1666	540
755	1667	538
756	1668	535
757	1669	533
758	1670	530
759	1671	527
760	1672	525
761	1673	522
762	1674	520
763	1675	517
764	1676	514
765	1677	512
766	1678	509
767	1681	507
768	1682	505
769	1683	502
770	1684	500
771	1685	497
772	1685	495
773	1686	492
774	1687	489
775	1688	487
776	1690	485
777	1692	483
778	1696	481
779	1698	479
780	1700	476
781	1701	474
782	1702	471
783	1703	469
784	1704	466
785	1705	464
786	1706	461
787	1707	459
788	1708	456
789	1710	454
790	1711	452
791	1712	449
792	1713	447
793	1714	444
794	1715	442
795	1716	439
796	1717	437
797	1718	435
798	1719	432
799	1720	430
800	1721	427
801	1722	425
802	1723	422
803	1725	420
804	1726	418
805	1727	415
806	1728	413
807	1729	410
808	1730	408
809	1731	406
810	1732	403
811	1733	401
812	1734	398
813	1735	396
814	1735	394
815	1737	391
816	1738	389
817	1740	387
818	1741	384
819	1742	382
820	1743	380
821	1744	377
822	1745	375
